start_time_s,start_distance_km,end_temp_c,end_soc_pct,heat_energy_kwh,charge_time_s,score_50
211.000000,38.241666667,20.570724085,25.783217446,3.308333333,762.319892869,38.468254012
212.000000,38.233333333,20.561460706,25.787725221,3.306666667,762.296782688,38.655630945
213.000000,38.225000000,20.552195811,25.792232935,3.305000000,762.273662848,38.843055457
214.000000,38.216666667,20.542929400,25.796740617,3.303333333,762.250532901,39.030529767
215.000000,38.208333333,20.533661471,25.801248267,3.301666667,762.227392834,39.218053928
216.000000,38.200000000,20.524392026,25.805755858,3.300000000,762.204243051,39.405625951
217.000000,38.191666667,20.515121064,25.810263413,3.298333333,762.181083213,39.593247508
218.000000,38.183333333,20.505848587,25.814770927,3.296666667,762.157913378,39.780918316
219.000000,38.175000000,20.496574592,25.819278400,3.295000000,762.134733535,39.968638422
220.000000,38.166666667,20.487299079,25.823785830,3.293333333,762.111543752,40.156407499
221.000000,38.158333333,20.478022048,25.828293210,3.291666667,762.088344085,40.344225267
222.000000,38.150000000,20.468743507,25.832800556,3.290000000,762.065134275,40.532093000
223.000000,38.141666667,20.459463496,25.837307837,3.288333333,762.041914580,40.720009436
224.000000,38.133333333,20.450182022,25.841815038,3.286666667,762.018685202,40.907973568
225.000000,38.125000000,20.440899082,25.846322187,3.285000000,761.995445718,41.095987487
226.000000,38.116666667,20.431614674,25.850829269,3.283333333,761.972196344,41.284050122
227.000000,38.108333333,20.422328801,25.855336273,3.281666667,761.948937280,41.472160498
228.000000,38.100000000,20.413041460,25.859843223,3.280000000,761.925668120,41.660320609
229.000000,38.091666667,20.403752656,25.864350096,3.278333333,761.902389190,41.848528848
230.000000,38.083333333,20.394462383,25.868856911,3.276666667,761.879100258,42.036786363
231.000000,38.075000000,20.385170642,25.873363655,3.275000000,761.855801481,42.225092376
232.000000,38.066666667,20.375877433,25.877870332,3.273333333,761.832492825,42.413447052
233.000000,38.058333333,20.366582756,25.882376956,3.271666667,761.809174039,42.601851636
234.000000,38.050000000,20.357286613,25.886883497,3.270000000,761.785845584,42.790303849
235.000000,38.041666667,20.347989002,25.891389975,3.268333333,761.762507165,42.978805150
236.000000,38.033333333,20.338689921,25.895896399,3.266666667,761.739158621,43.167356331
237.000000,38.025000000,20.329389372,25.900402743,3.265000000,761.715800369,43.355955333
238.000000,38.016666667,20.320087353,25.904909023,3.263333333,761.692432175,43.544603314
239.000000,38.008333333,20.310783869,25.909415239,3.261666667,761.669053973,43.733300599
240.000000,38.000000000,20.301478914,25.913921389,3.260000000,761.645665841,43.922046799
241.000000,37.983333333,20.292127951,25.918447795,3.258333333,761.622176034,44.111293883
242.000000,37.966666667,20.282775037,25.922974216,3.256666667,761.598677379,44.300584552
243.000000,37.950000000,20.273420172,25.927500667,3.255000000,761.575169617,44.489920086
244.000000,37.933333333,20.264063357,25.932027149,3.253333333,761.551652714,44.679300652
245.000000,37.916666667,20.254704590,25.936553633,3.251666667,761.528127171,44.868723779
246.000000,37.900000000,20.245343870,25.941080151,3.250000000,761.504592439,45.058192174
247.000000,37.883333333,20.235981195,25.945606696,3.248333333,761.481048658,45.247705148
248.000000,37.866666667,20.226616569,25.950133257,3.246666667,761.457495974,45.437261982
249.000000,37.850000000,20.217249989,25.954659845,3.245000000,761.433934208,45.626863558
250.000000,37.833333333,20.207881456,25.959186451,3.243333333,761.410363512,45.816509121
251.000000,37.816666667,20.198510966,25.963713090,3.241666667,761.386783634,46.006199919
252.000000,37.800000000,20.189138520,25.968239747,3.240000000,761.363194824,46.195934718
253.000000,37.783333333,20.179764120,25.972766420,3.238333333,761.339597093,46.385713465
254.000000,37.766666667,20.170387766,25.977293129,3.236666667,761.315990115,46.575537769
255.000000,37.750000000,20.161009455,25.981819856,3.235000000,761.292374190,46.765406143
256.000000,37.733333333,20.151629187,25.986346598,3.233333333,761.268749357,46.955318402
257.000000,37.716666667,20.142246959,25.990873377,3.231666667,761.245115259,47.145276308
258.000000,37.700000000,20.132862778,25.995400170,3.230000000,761.221472243,47.335278139
259.000000,37.683333333,20.123476638,25.999926987,3.228333333,761.197820153,47.525324676
260.000000,37.666666667,20.114088539,26.004453829,3.226666667,761.174158993,47.715415896
261.000000,37.650000000,20.104698481,26.008980693,3.225000000,761.150488796,47.905551628
262.000000,37.633333333,20.095306461,26.013507593,3.223333333,761.126809327,48.095733042
263.000000,37.616666667,20.085912486,26.018034497,3.221666667,761.103121082,48.285957687
264.000000,37.600000000,20.076516552,26.022561429,3.220000000,761.079423682,48.476227434
265.000000,37.583333333,20.067118654,26.027088397,3.218333333,761.055717007,48.666542873
266.000000,37.566666667,20.057718797,26.031615374,3.216666667,761.032001490,48.856901867
267.000000,37.550000000,20.048316976,26.036142378,3.215000000,761.008276813,49.047305987
268.000000,37.533333333,20.038913198,26.040669408,3.213333333,760.984542990,49.237755163
269.000000,37.516666667,20.029507456,26.045196463,3.211666667,760.960800057,49.428249220
270.000000,37.500000000,20.020099751,26.049723541,3.210000000,760.937048028,49.618788083
271.000000,37.483333333,20.010690082,26.054250636,3.208333333,760.913287009,49.809371239
272.000000,37.466666667,20.001278449,26.058777763,3.206666667,760.889516731,50.000000000
