case_id,t_best_dt1,T_dt1,soc_dt1,score_dt1,t_best_dt0.5,T_dt0.5,soc_dt0.5,score_dt0.5,t_best_dt0.25,T_dt0.25,soc_dt0.25,score_dt0.25,t_best_dt0.125,T_dt0.125,soc_dt0.125,score_dt0.125,dT_1.0,dT_0.5,dT_0.25,dSoc_1.0,dSoc_0.5,dSoc_0.25,dt_1.0,dt_0.5,dt_0.25,dscore_1.0,dscore_0.5,dscore_0.25
43397,1221.4000,20.000694,14.095807,46.648202,1221.3000,20.000891,14.094792,46.650481,1221.3000,20.000483,14.094525,46.651948,1221.3000,20.000280,14.094392,46.651882,0.000414534,0.000611117,0.000203723,0.00141495,0.00040053,0.000133541,0.1,0,0,0.0036797,0.00140051,6.57338e-05
57058,0.0000,21.738868,13.427432,30.000000,0.0000,21.738009,13.426530,30.000000,0.0000,21.737579,13.426079,30.000000,0.0000,21.737365,13.425853,30.000000,0.00150294,0.000644202,0.00021475,0.00157884,0.000677047,0.00022575,0,0,0,0,0,0
39766,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
37140,390.6000,20.000603,17.210286,50.000000,390.5000,20.000690,17.209226,50.000000,390.5000,20.000265,17.208927,50.000000,390.5000,20.000052,17.208778,50.000000,0.000550332,0.00063802,0.000212687,0.00150875,0.000448226,0.000149431,0.1,0,0,0,0,0
65116,1042.6000,20.000629,12.498947,44.634205,1042.5000,20.000819,12.497777,44.628554,1042.5000,20.000426,12.497431,44.624971,1042.5000,20.000230,12.497258,44.624562,0.000399504,0.000588886,0.000196297,0.00168928,0.000519413,0.00017316,0.1,0,0,0.0096433,0.003992,0.000408838
35536,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
9848,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
36962,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32889,557.3000,20.000411,18.794654,50.000000,557.2000,20.000480,18.793727,50.000000,557.2000,20.000040,18.793492,50.000000,557.1000,20.000770,18.792917,50.000000,0.000359432,0.000289591,0.000729779,0.00173741,0.000810247,0.000575515,0.2,0.1,0.1,0,0,0
12867,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
